,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
104,t451,0,45.0,0,Stelasyn,Male,8,29
105,a963,0,45.0,0,Stelasyn,Female,23,27
106,m269,0,45.0,0,Stelasyn,Female,22,28
107,z314,0,45.0,0,Stelasyn,Female,21,28
108,o848,0,45.0,0,Stelasyn,Female,14,27
109,v719,0,45.0,0,Infubinol,Female,17,30
110,q597,0,45.0,0,Ramicane,Male,20,25
111,c895,0,45.0,0,Infubinol,Female,7,29
112,a203,0,45.0,0,Infubinol,Female,20,23
113,f394,0,45.0,0,Zoniferol,Male,19,30
114,c264,0,45.0,0,Zoniferol,Female,11,27
115,n967,0,45.0,0,Zoniferol,Male,11,27
116,f545,0,45.0,0,Zoniferol,Female,20,26
117,k894,0,45.0,0,Zoniferol,Female,13,29
118,k754,0,45.0,0,Zoniferol,Female,8,26
119,g296,0,45.0,0,Zoniferol,Female,14,29
120,d164,0,45.0,0,Zoniferol,Male,21,28
121,w575,0,45.0,0,Zoniferol,Female,16,28
122,x613,0,45.0,0,Zoniferol,Female,2,29
123,q633,0,45.0,0,Zoniferol,Male,12,25
124,b313,0,45.0,0,Zoniferol,Male,12,27
125,f129,0,45.0,0,Zoniferol,Female,11,29
126,j365,0,45.0,0,Zoniferol,Male,24,28
127,p136,0,45.0,0,Zoniferol,Female,5,28
128,c559,0,45.0,0,Zoniferol,Female,19,28
129,a788,0,45.0,0,Zoniferol,Male,5,30
130,s337,0,45.0,0,Zoniferol,Male,14,27
131,q511,0,45.0,0,Zoniferol,Female,2,28
132,m331,0,45.0,0,Zoniferol,Female,19,26
133,o926,0,45.0,0,Zoniferol,Male,15,29
134,d133,0,45.0,0,Zoniferol,Male,5,30
135,n630,0,45.0,0,Propriva,Female,15,29
136,a401,0,45.0,0,Zoniferol,Female,8,25
137,w350,0,45.0,0,Propriva,Male,7,26
138,c302,0,45.0,0,Zoniferol,Female,10,29
139,a897,0,45.0,0,Placebo,Male,7,28
140,j235,0,45.0,0,Placebo,Male,6,30
141,q787,0,45.0,0,Placebo,Male,17,27
142,a262,0,45.0,0,Placebo,Female,17,29
143,r850,0,45.0,0,Placebo,Male,5,30
144,i669,0,45.0,0,Placebo,Female,18,27
145,n763,0,45.0,0,Placebo,Female,16,25
146,s152,0,45.0,0,Placebo,Female,4,30
147,c766,0,45.0,0,Placebo,Female,13,26
148,e227,0,45.0,0,Placebo,Male,1,30
149,c282,0,45.0,0,Placebo,Male,12,27
150,v989,0,45.0,0,Placebo,Male,4,25
151,w140,0,45.0,0,Zoniferol,Female,19,30
152,v409,0,45.0,0,Placebo,Female,16,25
153,l872,0,45.0,0,Placebo,Male,19,30
154,o795,0,45.0,0,Placebo,Female,20,26
155,y478,0,45.0,0,Placebo,Female,3,25
156,q582,0,45.0,0,Placebo,Male,5,30
157,s166,0,45.0,0,Placebo,Male,19,27
158,x773,0,45.0,0,Placebo,Female,21,30
159,w167,0,45.0,0,Placebo,Female,6,28
160,t718,0,45.0,0,Placebo,Female,10,30
161,o302,0,45.0,0,Placebo,Female,2,29
162,i477,0,45.0,0,Placebo,Female,3,30
163,c757,0,45.0,0,Placebo,Male,9,27
164,t994,0,45.0,0,Placebo,Male,14,30
165,p310,0,45.0,0,Propriva,Male,6,26
166,a699,0,45.0,0,Propriva,Female,5,28
167,k603,0,45.0,0,Propriva,Male,2,27
168,x822,0,45.0,0,Ceftamin,Male,3,29
169,l558,0,45.0,0,Ceftamin,Female,13,30
170,l733,0,45.0,0,Ceftamin,Female,4,30
171,f436,0,45.0,0,Ceftamin,Female,3,25
172,l490,0,45.0,0,Ceftamin,Male,24,26
173,b759,0,45.0,0,Ceftamin,Female,12,25
174,l471,0,45.0,0,Ceftamin,Female,7,28
175,y865,0,45.0,0,Ceftamin,Male,23,26
176,y769,0,45.0,0,Ceftamin,Female,6,27
177,l661,0,45.0,0,Ceftamin,Male,18,26
178,j296,0,45.0,0,Ceftamin,Female,24,30
179,u149,0,45.0,0,Ceftamin,Male,24,29
180,u153,0,45.0,0,Ceftamin,Female,11,25
181,w151,0,45.0,0,Ceftamin,Male,24,25
182,h531,0,45.0,0,Ceftamin,Male,5,27
183,a685,0,45.0,0,Infubinol,Male,8,30
184,o813,0,45.0,0,Infubinol,Male,24,28
185,m756,0,45.0,0,Infubinol,Male,19,30
186,n671,0,45.0,0,Infubinol,Male,18,25
187,s121,0,45.0,0,Infubinol,Male,23,26
188,v766,0,45.0,0,Infubinol,Male,16,27
189,w193,0,45.0,0,Infubinol,Male,22,30
190,e476,0,45.0,0,Infubinol,Male,23,26
191,w584,0,45.0,0,Infubinol,Male,3,29
192,b447,0,45.0,0,Ceftamin,Male,2,30
193,k210,0,45.0,0,Ceftamin,Male,15,28
194,a275,0,45.0,0,Ceftamin,Female,20,28
195,x581,0,45.0,0,Ceftamin,Female,19,28
196,n482,0,45.0,0,Propriva,Female,4,29
197,t198,0,45.0,0,Propriva,Male,22,26
198,l215,0,45.0,0,Propriva,Male,10,29
199,s141,0,45.0,0,Propriva,Male,8,25
200,o523,0,45.0,0,Propriva,Female,6,25
201,i635,0,45.0,0,Propriva,Male,21,26
202,w746,0,45.0,0,Propriva,Male,1,26
203,r107,0,45.0,0,Propriva,Female,2,28
204,s187,0,45.0,0,Propriva,Male,22,25
205,g570,0,45.0,0,Propriva,Male,16,29
206,x209,0,45.0,0,Propriva,Female,7,29
207,x111,0,45.0,0,Propriva,Female,24,27
208,z435,0,45.0,0,Propriva,Female,12,26
209,n678,0,45.0,0,Propriva,Male,5,29
210,g558,0,45.0,0,Propriva,Male,8,29
211,u946,0,45.0,0,Propriva,Male,5,30
212,o562,0,45.0,0,Propriva,Female,4,25
213,v991,0,45.0,0,Propriva,Female,10,30
214,c927,0,45.0,0,Propriva,Female,4,26
215,x226,0,45.0,0,Ceftamin,Male,23,28
216,p438,0,45.0,0,Ceftamin,Female,11,26
217,b487,0,45.0,0,Ceftamin,Female,6,28
218,o287,0,45.0,0,Ceftamin,Male,2,28
219,q483,0,45.0,0,Ceftamin,Male,6,26
220,t573,0,45.0,0,Ceftamin,Female,15,27
221,f345,0,45.0,0,Infubinol,Male,23,26
222,i334,0,45.0,0,Ramicane,Female,8,20
223,l264,0,45.0,0,Ketapril,Female,15,30
224,j246,0,45.0,0,Capomulin,Female,21,21
225,r554,0,45.0,0,Capomulin,Female,8,17
226,s185,0,45.0,0,Capomulin,Female,3,17
227,b742,0,45.0,0,Capomulin,Male,7,21
228,x401,0,45.0,0,Capomulin,Female,16,15
229,l509,0,45.0,0,Capomulin,Male,17,21
230,s710,0,45.0,0,Capomulin,Female,1,23
231,r157,0,45.0,0,Capomulin,Male,22,25
232,u364,0,45.0,0,Capomulin,Male,18,17
233,j119,0,45.0,0,Capomulin,Female,7,23
234,v923,0,45.0,0,Capomulin,Female,19,21
235,w914,0,45.0,0,Capomulin,Male,24,21
236,i738,0,45.0,0,Capomulin,Female,23,20
237,r944,0,45.0,0,Capomulin,Male,12,25
238,y793,0,45.0,0,Capomulin,Male,17,17
239,g316,0,45.0,0,Capomulin,Female,22,22
240,g288,0,45.0,0,Capomulin,Male,3,19
241,l897,0,45.0,0,Capomulin,Male,17,19
242,w150,0,45.0,0,Capomulin,Male,23,23
243,t565,0,45.0,0,Capomulin,Female,20,17
244,i557,0,45.0,0,Capomulin,Female,1,24
245,m957,0,45.0,0,Capomulin,Female,3,19
246,f966,0,45.0,0,Capomulin,Male,16,17
247,m601,0,45.0,0,Capomulin,Male,22,17
248,a275,5,46.79525728,0,Ceftamin,Female,20,28
249,w575,5,48.91385977,1,Zoniferol,Female,16,28
250,x822,5,45.67110442,1,Ceftamin,Male,3,29
251,l509,5,45.85119285,0,Capomulin,Male,17,21
252,n304,5,46.43121629,0,Naftisol,Male,9,26
253,d164,5,46.61767061,0,Zoniferol,Male,21,28
254,l897,5,45.46224327,0,Capomulin,Male,17,19
255,l558,5,45.80908882,0,Ceftamin,Female,13,30
256,g296,5,46.59323337,0,Zoniferol,Female,14,29
257,c458,5,45.72227949,0,Ramicane,Female,23,20
258,a401,5,46.11198591,0,Zoniferol,Female,8,25
259,l700,5,45.91837165,0,Naftisol,Female,18,27
260,f234,5,47.31349062,0,Stelasyn,Male,14,28
261,x613,5,46.09704058,0,Zoniferol,Female,2,29
262,u149,5,45.79206792,0,Ceftamin,Male,24,29
263,k210,5,47.91899771,0,Ceftamin,Male,15,28
264,x402,5,46.32757027,1,Stelasyn,Male,21,28
265,q610,5,45.62949421,0,Ramicane,Female,18,21
266,x581,5,47.1969266,0,Ceftamin,Female,19,28
267,a492,5,46.40914339,0,Stelasyn,Male,20,25
268,m133,5,46.62130127,0,Naftisol,Female,2,26
269,l725,5,48.73631881,1,Naftisol,Female,8,26
270,q633,5,47.18380215,0,Zoniferol,Male,12,25
271,f129,5,47.00059399,0,Zoniferol,Female,11,29
272,q483,5,46.77681624,1,Ceftamin,Male,6,26
273,a444,5,44.00597487,0,Ramicane,Female,10,25
274,v835,5,47.15601071,0,Naftisol,Male,7,29
275,r604,5,47.06774448,1,Naftisol,Male,7,30
276,f394,5,47.03309963,0,Zoniferol,Male,19,30
277,y865,5,46.73500592,1,Ceftamin,Male,23,26
278,d251,5,41.74635495,1,Ramicane,Female,8,19
279,b313,5,47.15443254,0,Zoniferol,Male,12,27
280,y769,5,46.42265176,1,Ceftamin,Female,6,27
281,z234,5,46.12935706,1,Naftisol,Female,19,27
282,b559,5,47.40989731,0,Naftisol,Male,20,26
283,f993,5,46.39575966,0,Naftisol,Male,21,28
284,q119,5,47.86444,0,Ketapril,Male,17,30
285,j989,5,45.62071835,1,Ramicane,Male,8,19
286,w150,5,39.20212894,0,Capomulin,Male,23,23
287,n923,5,45.82488099,0,Ketapril,Male,19,30
288,y449,5,45.87754494,0,Ramicane,Male,19,24
289,l661,5,46.26879904,0,Ceftamin,Male,18,26
290,c302,5,47.69067986,1,Zoniferol,Female,10,29
291,c264,5,45.79170389,0,Zoniferol,Female,11,27
292,l471,5,46.25187204,0,Ceftamin,Female,7,28
293,x930,5,46.07823375,0,Naftisol,Male,13,26
294,k754,5,45.7277604,0,Zoniferol,Female,8,26
295,f436,5,46.37079759,1,Ceftamin,Female,3,25
296,v295,5,46.11181797,1,Naftisol,Female,2,27
297,j913,5,44.01490022,0,Ramicane,Female,4,17
298,s710,5,43.1809774,0,Capomulin,Female,1,23
299,z969,5,49.33299873,0,Naftisol,Male,9,30
300,k894,5,47.64568674,0,Zoniferol,Female,13,29
301,l490,5,45.61253918,1,Ceftamin,Male,24,26
302,b759,5,48.00919049,0,Ceftamin,Female,12,25
303,a411,5,45.46667714,0,Ramicane,Male,3,22
304,f545,5,46.56581263,0,Zoniferol,Female,20,26
305,o725,5,46.88982098,0,Naftisol,Male,4,26
306,y601,5,48.47500273,1,Naftisol,Female,23,25
307,w914,5,45.89372032,0,Capomulin,Male,24,21
308,n967,5,46.07719173,1,Zoniferol,Male,11,27
309,l733,5,46.17422627,0,Ceftamin,Female,4,30
310,m601,5,41.40859145,1,Capomulin,Male,22,17
311,b487,5,46.21397739,0,Ceftamin,Female,6,28
312,o287,5,45.58680362,0,Ceftamin,Male,2,28
313,p310,5,46.55853236,1,Propriva,Male,6,26
314,r107,5,48.51342027,0,Propriva,Female,2,28
315,s565,5,48.24255218,0,Stelasyn,Female,3,29
316,w350,5,48.23211311,0,Propriva,Male,7,26
317,s187,5,47.57671761,1,Propriva,Male,22,25
318,j984,5,48.41072109,1,Stelasyn,Female,2,30
319,w697,5,48.30182261,1,Stelasyn,Female,14,30
320,j755,5,47.24284357,0,Naftisol,Male,23,27
321,g570,5,47.65642436,1,Propriva,Male,16,29
322,u364,5,45.76088647,1,Capomulin,Male,18,17
323,x209,5,46.75426887,0,Propriva,Female,7,29
324,c402,5,49.3426301,1,Stelasyn,Female,1,27
325,b742,5,41.53409702,0,Capomulin,Male,7,21
326,n630,5,46.09909969,0,Propriva,Female,15,29
327,e213,5,45.69925018,1,Naftisol,Male,8,27
328,a366,5,48.95136773,0,Stelasyn,Female,16,29
329,w746,5,49.45327005,0,Propriva,Male,1,26
330,s141,5,45.83113434,0,Propriva,Male,8,25
331,i901,5,46.49302392,0,Stelasyn,Male,23,29
332,t198,5,47.46126052,0,Propriva,Male,22,26
333,b879,5,49.15615628,1,Stelasyn,Female,4,26
334,k603,5,46.04211582,0,Propriva,Male,2,27
335,o523,5,45.54470008,0,Propriva,Female,6,25
336,v923,5,45.70443431,0,Capomulin,Female,19,21
337,f966,5,38.79647373,0,Capomulin,Male,16,17
338,p387,5,48.66763075,0,Stelasyn,Male,3,30
339,g867,5,46.88074916,0,Stelasyn,Female,9,25
340,i635,5,47.23593715,0,Propriva,Male,21,26
341,s619,5,46.60226878,0,Stelasyn,Male,22,30
342,a699,5,46.55308986,0,Propriva,Female,5,28
343,q132,5,46.7163985,1,Infubinol,Female,1,30
344,k862,5,49.20305786,0,Stelasyn,Female,13,25
345,h333,5,45.75172728,0,Stelasyn,Male,21,27
346,x401,5,45.47375302,0,Capomulin,Female,16,15
347,o926,5,46.76116373,0,Zoniferol,Male,15,29
348,c927,5,46.35184205,0,Propriva,Female,4,26
349,c559,5,46.56263793,0,Zoniferol,Female,19,28
350,r701,5,46.88697137,0,Naftisol,Male,21,25
351,j119,5,45.83899787,0,Capomulin,Female,7,23
352,p438,5,46.82793418,0,Ceftamin,Female,11,26
353,m269,5,49.0111801,0,Stelasyn,Female,22,28
354,a963,5,46.23350581,0,Stelasyn,Female,23,27
355,p136,5,49.27397096,0,Zoniferol,Female,5,28
356,t724,5,46.35925829,0,Naftisol,Female,2,25
357,z314,5,45.93471217,0,Stelasyn,Female,21,28
358,a818,5,45.69670864,0,Naftisol,Female,12,28
359,v764,5,47.05418474,0,Stelasyn,Female,5,30
360,j365,5,46.7112611,0,Zoniferol,Male,24,28
361,i557,5,42.2616653,0,Capomulin,Female,1,24
362,x264,5,47.0384145,0,Naftisol,Female,21,27
363,v991,5,49.21432799,1,Propriva,Female,10,30
364,a788,5,47.00658024,0,Zoniferol,Male,5,30
365,x111,5,46.94101498,1,Propriva,Female,24,27
366,k510,5,46.6084671,0,Stelasyn,Female,8,27
367,z435,5,47.11597963,0,Propriva,Female,12,26
368,e584,5,45.6569785,0,Naftisol,Male,9,27
369,m331,5,45.52301371,1,Zoniferol,Female,19,26
370,n678,5,47.55428429,0,Propriva,Male,5,29
371,p981,5,47.00062717,0,Stelasyn,Male,20,29
372,g558,5,46.18874193,0,Propriva,Male,8,29
373,e291,5,46.14250486,0,Naftisol,Female,14,29
374,q511,5,45.83265378,0,Zoniferol,Female,2,28
375,u946,5,45.9918078,1,Propriva,Male,5,30
376,z795,5,46.83347493,0,Naftisol,Female,13,29
377,t451,5,48.04713882,0,Stelasyn,Male,8,29
378,s337,5,46.84985157,0,Zoniferol,Male,14,27
379,o562,5,46.51495016,1,Propriva,Female,4,25
380,w540,5,45.88537038,1,Stelasyn,Female,8,26
381,w140,5,47.71795156,0,Zoniferol,Female,19,30
382,l215,5,49.48194935,1,Propriva,Male,10,29
383,y793,5,41.01991315,0,Capomulin,Male,17,17
384,n763,5,46.08598142,0,Placebo,Female,16,25
385,a203,5,48.5084684,0,Infubinol,Female,20,23
386,w584,5,46.05193075,0,Infubinol,Male,3,29
387,y163,5,48.28497016,0,Infubinol,Female,17,27
388,o973,5,46.71787727,0,Ketapril,Female,11,29
389,o795,5,46.76092721,1,Placebo,Female,20,26
390,w422,5,48.45745927,0,Ketapril,Female,18,26
391,e662,5,45.81628252,0,Ramicane,Male,8,24
392,g791,5,45.85153062,0,Ramicane,Male,11,16
393,c580,5,46.6284548,0,Ketapril,Male,22,25
394,e476,5,47.11180113,0,Infubinol,Male,23,26
395,k483,5,46.61105571,0,Infubinol,Female,20,30
396,y478,5,48.64107818,1,Placebo,Female,3,25
397,i669,5,46.76466824,1,Placebo,Female,18,27
398,d474,5,45.91835225,0,Ketapril,Male,18,27
399,w193,5,45.49385802,0,Infubinol,Male,22,30
400,q582,5,45.95539895,1,Placebo,Male,5,30
401,s166,5,47.18678778,0,Placebo,Male,19,27
402,o331,5,47.05966408,1,Ketapril,Male,24,30
403,k382,5,46.27499735,1,Ketapril,Male,22,29
404,k804,5,48.26620364,0,Infubinol,Female,23,29
405,r850,5,46.86291194,0,Placebo,Male,5,30
406,g316,5,44.02275246,0,Capomulin,Female,22,22
407,v766,5,48.15125091,1,Infubinol,Male,16,27
408,g497,5,48.78206878,0,Ketapril,Male,19,28
409,a520,5,38.72370695,0,Ramicane,Male,13,21
410,x773,5,45.8508307,1,Placebo,Female,21,30
411,m550,5,49.05409736,1,Ketapril,Male,18,28
412,t994,5,47.8914871,0,Placebo,Male,14,30
413,n364,5,45.52187471,0,Ramicane,Male,4,17
414,l264,5,46.66876646,0,Ketapril,Female,15,30
415,e227,5,47.23801112,0,Placebo,Male,1,30
416,c326,5,36.3213458,0,Infubinol,Female,18,25
417,r157,5,45.59706359,0,Capomulin,Male,22,25
418,c766,5,47.31305537,0,Placebo,Female,13,26
419,v719,5,47.18836325,0,Infubinol,Female,17,30
420,w678,5,43.16637266,0,Ramicane,Female,5,24
421,c139,5,48.75311208,0,Infubinol,Male,11,28
422,m546,5,42.99887638,0,Ramicane,Male,18,16
423,v339,5,46.25011212,0,Infubinol,Male,20,26
424,s152,5,47.4590529,1,Placebo,Female,4,30
425,m650,5,48.56249492,1,Ketapril,Male,15,27
426,c282,5,45.72568973,0,Placebo,Male,12,27
427,v989,5,48.85813451,0,Placebo,Male,4,25
428,r944,5,45.73714484,0,Capomulin,Male,12,25
429,r554,5,45.78174579,1,Capomulin,Female,8,17
430,c895,5,45.47754399,0,Infubinol,Female,7,29
431,v409,5,46.22079642,0,Placebo,Female,16,25
432,u196,5,45.55746444,1,Ramicane,Male,18,25
433,c832,5,48.68546123,1,Ketapril,Male,18,29
434,v289,5,46.20446003,0,Ketapril,Female,3,26
435,a897,5,45.69112405,1,Placebo,Male,7,28
436,f345,5,45.5911466,0,Infubinol,Male,23,26
437,s508,5,38.71187185,0,Ramicane,Male,1,17
438,a577,5,46.1977199,1,Infubinol,Female,6,25
439,z578,5,42.18878662,0,Ramicane,Male,11,16
440,i177,5,44.06539783,0,Ramicane,Male,10,18
441,a644,5,45.55015754,0,Ramicane,Female,7,17
442,c757,5,47.78327981,0,Placebo,Male,9,27
443,s185,5,43.87849569,0,Capomulin,Female,3,17
444,i738,5,45.59568527,0,Capomulin,Female,23,20
445,m756,5,47.01036401,1,Infubinol,Male,19,30
446,o813,5,45.69933088,0,Infubinol,Male,24,28
447,j246,5,45.64143788,0,Capomulin,Female,21,21
448,a685,5,46.87048256,0,Infubinol,Male,8,30
449,r811,5,45.62580225,0,Ramicane,Male,9,19
450,h246,5,49.47041702,0,Ketapril,Male,13,30
451,q597,5,45.76611104,0,Ramicane,Male,20,25
452,a251,5,46.98212719,0,Infubinol,Female,21,25
453,q787,5,47.11661587,0,Placebo,Male,17,27
454,c758,5,45.5786783,0,Ramicane,Male,9,17
455,u327,5,45.69418805,0,Ketapril,Male,17,25
456,t565,5,45.8956472,0,Capomulin,Female,20,17
457,c819,5,45.76924864,1,Ketapril,Male,21,25
458,o302,5,48.93701188,0,Placebo,Female,2,29
459,h531,5,47.7846818,0,Ceftamin,Male,5,27
460,i477,5,46.65738471,0,Placebo,Female,3,30
461,w151,5,45.54607595,1,Ceftamin,Male,24,25
462,y260,5,46.79983867,0,Ketapril,Female,7,25
463,r921,5,45.56821083,0,Ramicane,Female,5,25
464,a457,5,47.462891,0,Ketapril,Female,11,30
465,j296,5,46.79925591,1,Ceftamin,Female,24,30
466,w167,5,48.78627194,0,Placebo,Female,6,28
467,a262,5,48.71756819,1,Placebo,Female,17,29
468,b128,5,45.65133131,0,Capomulin,Female,9,22
469,n671,5,47.35388938,0,Infubinol,Male,18,25
470,g288,5,45.83939976,0,Capomulin,Male,3,19
471,v603,5,46.01600593,0,Ketapril,Female,22,30
472,i334,5,41.02051821,0,Ramicane,Female,8,20
473,k403,5,38.82589807,0,Ramicane,Male,21,16
474,p189,5,49.04870704,1,Ketapril,Male,8,28
475,o809,5,46.87724316,0,Infubinol,Male,3,25
476,g107,5,48.79166496,0,Ketapril,Female,2,29
477,t718,5,45.92125272,1,Placebo,Female,10,30
478,i386,5,46.85369669,1,Infubinol,Female,23,29
479,s121,5,45.63566174,1,Infubinol,Male,23,26
480,z581,5,49.27309187,1,Infubinol,Female,24,25
481,f278,5,48.19457788,0,Ketapril,Male,12,30
482,j235,5,46.58881978,0,Placebo,Male,6,30
483,m957,5,45.62238149,1,Capomulin,Female,3,19
484,e291,10,48.52974125,1,Naftisol,Female,14,29
485,u946,10,46.73050592,1,Propriva,Male,5,30
486,g558,10,50.09475382,0,Propriva,Male,8,29
487,i386,10,49.86154739,2,Infubinol,Female,23,29
488,e584,10,47.25064148,0,Naftisol,Male,9,27
489,o523,10,47.0810859,1,Propriva,Female,6,25
490,i635,10,48.68575605,1,Propriva,Male,21,26
491,b879,10,50.33894583,1,Stelasyn,Female,4,26
492,u327,10,49.23525948,0,Ketapril,Male,17,25
493,n678,10,49.14570866,1,Propriva,Male,5,29
494,r554,10,39.0054935,2,Capomulin,Female,8,17
495,z435,10,48.71066147,0,Propriva,Female,12,26
496,s565,10,52.7775271,0,Stelasyn,Female,3,29
497,g497,10,49.6470865,0,Ketapril,Male,19,28
498,s187,10,48.14635121,1,Propriva,Male,22,25
499,o809,10,48.6707318,0,Infubinol,Male,3,25
500,z581,10,50.47875016,2,Infubinol,Female,24,25
501,r107,10,49.18601052,0,Propriva,Female,2,28
502,k804,10,49.47124419,0,Infubinol,Female,23,29
503,a366,10,53.52399007,0,Stelasyn,Female,16,29
504,j755,10,48.16706083,0,Naftisol,Male,23,27
505,g570,10,49.18823167,1,Propriva,Male,16,29
506,d474,10,46.97496297,0,Ketapril,Male,18,27
507,c832,10,49.81141262,1,Ketapril,Male,18,29
508,x209,10,48.92989543,0,Propriva,Female,7,29
509,u364,10,46.56841719,2,Capomulin,Male,18,17
510,k483,10,50.29604123,1,Infubinol,Female,20,30
511,o973,10,48.24579043,0,Ketapril,Female,11,29
